search,view,plan,budget,group_size,days_to_trip,price,book
1,1,1,2,4,27,20144,0
1,1,1,1,3,28,12297,1
1,1,1,1,4,19,12810,1
1,1,1,1,3,10,6061,1
1,1,1,1,2,13,23347,1
1,1,1,2,2,23,18705,0
1,1,0,1,3,24,20977,0
1,1,1,0,3,30,26679,0
1,1,1,2,4,17,15992,1
1,1,1,2,3,17,11831,0
1,1,1,2,5,9,7468,0
1,1,1,2,4,14,5077,1
1,1,1,2,4,11,22883,1
1,1,0,2,3,4,15066,0
1,1,0,1,3,7,23750,0
1,1,1,1,2,8,24405,1
1,0,0,1,5,25,23779,1
1,1,0,1,5,18,6268,0
1,1,1,1,3,23,24706,0
1,1,1,0,2,25,17379,1
1,1,1,2,2,3,9658,1
1,1,1,0,3,25,15969,1
1,1,1,2,4,26,9594,1
1,1,1,2,3,21,29589,1
1,1,1,0,5,5,29020,1
1,1,1,0,4,3,10603,1
1,1,1,0,3,29,19237,0
1,1,1,2,2,17,24557,1
1,1,1,2,5,27,5776,1
1,1,1,1,5,21,18004,0
1,1,1,2,2,13,7973,1
1,1,1,1,3,28,18939,1
1,1,1,2,5,12,15360,0
1,0,0,1,3,5,9673,0
1,1,1,2,4,13,13009,1
1,1,0,1,4,27,9063,1
1,1,1,0,2,13,16797,1
1,1,1,1,5,14,14036,1
1,1,1,2,4,23,10304,0
1,1,1,0,2,7,24955,0
1,1,1,2,5,29,27648,0
1,1,1,0,4,25,15731,0
1,1,0,1,4,13,29426,0
1,1,1,2,5,29,15868,0
1,1,0,1,2,12,8309,0
1,1,1,1,5,26,14613,1
1,1,1,0,2,16,17461,0
1,1,0,0,5,26,8406,1
1,1,1,0,2,26,11094,0
1,1,1,2,3,7,13931,0
1,1,1,2,5,27,17303,1
1,1,1,2,5,26,10764,1
1,1,1,0,2,4,7311,1
1,1,0,1,2,22,27151,0
1,1,1,0,3,7,19796,0
1,0,0,0,3,4,10709,0
1,1,1,0,2,16,29520,0
1,0,0,2,3,22,17602,1
1,1,1,2,3,12,23412,0
1,1,0,1,5,27,9253,0
1,1,1,0,2,13,21994,0
1,1,1,1,2,1,29220,0
1,1,1,0,4,28,15603,1
1,1,1,2,5,24,22333,0
1,1,0,2,2,17,9198,0
1,1,1,1,5,9,27039,0
1,1,1,0,2,18,16353,0
1,1,1,1,3,13,11219,1
1,1,1,0,3,19,5695,1
1,1,1,0,2,13,22369,0
1,1,1,0,4,4,25757,0
1,1,1,0,4,17,19663,1
1,1,1,0,5,14,21445,0
1,1,1,2,4,24,15812,0
1,1,1,2,5,22,8149,1
1,1,1,1,3,28,15575,0
1,1,0,2,5,6,15271,0
1,1,1,2,3,28,6681,1
1,1,0,0,3,8,24944,0
1,1,1,1,2,13,23187,0
1,0,0,0,5,28,6552,0
1,0,0,2,3,16,7898,1
1,1,1,2,2,8,28189,1
1,1,0,2,5,2,28207,0
1,1,1,2,2,20,27017,0
1,1,0,2,5,25,29124,1
1,1,1,2,5,14,14481,1
1,1,1,2,5,22,16358,0
1,1,1,2,4,3,16267,0
1,1,1,1,3,20,23450,1
1,1,1,2,5,5,16231,1
1,1,1,0,2,5,17698,0
1,1,1,0,4,13,7317,0
1,1,1,2,4,15,12653,0
1,1,1,0,2,15,13674,1
1,1,1,1,5,11,15659,0
1,1,1,2,2,10,28438,0
1,1,1,1,5,9,6940,1
1,1,1,2,2,13,12425,1
1,1,1,1,2,26,24196,1
1,1,1,0,4,9,28138,0
1,1,0,0,4,24,13995,1
1,0,0,2,3,15,14185,0
1,1,0,1,4,23,9517,1
1,1,0,0,3,17,27360,0
1,1,1,0,2,9,29426,0
1,1,1,2,4,6,10970,0
1,1,1,2,2,25,28494,0
1,1,1,0,4,28,28132,1
1,1,1,2,2,3,19258,0
1,1,1,0,2,6,28994,0
1,1,1,0,3,19,21867,1
1,1,1,2,3,15,27255,1
1,1,1,2,5,26,16778,1
1,0,0,0,4,22,8432,0
1,1,0,1,4,28,15765,1
1,1,1,1,2,23,23197,0
1,1,1,1,5,23,24599,0
1,1,0,2,3,8,24483,0
1,1,1,2,2,22,25683,0
1,1,1,2,4,3,12981,0
1,1,1,1,2,12,17264,0
1,1,1,2,5,24,14814,1
1,1,1,0,4,12,16697,1
1,1,0,2,5,24,16394,0
1,1,1,2,5,16,22252,1
1,1,0,1,3,16,12844,0
1,1,1,1,5,4,28205,0
1,1,1,2,5,15,12587,1
1,0,0,2,4,26,9961,1
1,1,1,2,3,24,12457,0
1,1,1,0,4,16,10210,0
1,1,1,1,5,18,17856,0
1,1,1,1,3,28,17931,1
1,1,1,2,5,13,10577,1
1,1,1,0,2,5,10800,0
1,1,1,0,3,6,24975,0
1,1,1,1,3,27,8430,1
1,1,1,1,4,29,22253,1
1,1,1,1,2,18,24035,0
1,0,0,2,2,16,17968,0
1,1,1,2,3,19,11459,0
1,1,1,0,2,22,11385,1
1,1,1,2,5,13,26369,0
1,1,1,2,3,20,17103,0
1,1,1,0,5,6,12446,0
1,0,0,1,2,19,18958,0
1,1,1,1,3,6,16077,1
1,1,1,0,4,25,24584,1
1,1,0,1,2,22,5660,1
1,1,1,2,3,2,19209,1
1,1,1,0,3,14,10057,1
1,1,1,0,2,13,22114,1
1,1,0,0,3,21,15218,0
1,1,1,2,2,14,14990,1
1,0,0,0,4,14,17840,1
1,1,1,0,4,14,14337,0
1,1,1,0,5,13,26388,0
1,1,1,0,5,15,8353,1
1,1,1,2,2,15,10640,0
1,1,0,2,4,2,19227,0
1,1,0,0,2,19,5352,0
1,1,1,2,3,22,11274,1
1,1,1,2,5,18,8696,0
1,1,1,1,2,21,8666,0
1,1,1,2,2,28,21059,1
1,1,1,0,5,10,23794,0
1,1,1,0,2,10,25969,1
1,0,0,2,4,24,18200,1
1,1,0,0,3,30,21631,0
1,0,0,2,4,21,22804,0
1,1,1,0,2,21,24484,0
1,1,1,2,2,26,5511,1
1,1,1,1,5,16,9047,0
1,1,1,1,5,10,26075,1
1,1,1,0,5,15,18200,0
1,1,0,1,2,2,16936,0
1,1,1,1,3,11,17240,1
1,1,1,2,2,1,19223,1
1,1,1,1,2,27,19649,1
1,1,1,0,2,9,26921,0
1,1,1,0,4,30,7983,1
1,1,1,0,3,29,6199,0
1,1,1,2,3,29,9450,1
1,0,0,0,4,22,28462,0
1,1,0,2,2,16,23728,0
1,1,1,2,5,7,7667,1
1,1,1,2,4,25,27377,0
1,0,0,2,2,1,11503,1
1,1,1,1,5,22,27843,1
1,1,0,0,2,4,11810,0
1,1,1,1,2,21,12278,1
1,1,1,0,3,10,9155,0
1,1,1,1,4,23,17855,0
1,1,1,1,2,2,17044,1
1,1,1,2,4,5,16712,0
1,1,1,2,2,25,23395,1
1,1,0,2,3,15,22607,1
1,1,1,0,4,1,28023,1
1,1,0,2,4,6,11233,1
1,1,1,2,4,10,19590,0
1,0,0,1,2,26,22698,0
1,0,0,0,5,18,23121,0
1,1,1,0,3,22,10357,1
1,1,0,2,4,1,10344,1
1,1,1,2,2,26,17602,1
1,1,1,2,2,27,19190,0
1,1,1,0,3,23,5719,0
1,0,0,1,5,25,26368,0
1,1,1,1,4,8,11836,1
1,1,1,0,3,10,7297,1
1,1,1,0,5,22,26593,0
1,1,1,2,4,27,15086,1
1,1,1,0,3,9,7083,1
1,1,1,1,2,15,17403,1
1,0,0,0,3,10,21821,0
1,1,0,0,2,26,29333,0
1,1,1,1,5,14,15373,0
1,1,1,2,5,26,25814,1
1,1,1,1,2,8,10105,0
1,1,1,1,5,24,8437,0
1,1,1,1,2,29,11001,1
1,1,1,1,5,28,18093,1
1,1,1,1,4,30,16934,0
1,1,1,0,3,19,15086,1
1,1,1,1,5,23,23927,1
1,1,1,1,2,10,17082,0
1,1,0,0,5,21,5574,0
1,1,1,2,4,30,5958,1
1,1,0,2,4,22,6403,1
1,0,0,2,4,19,26916,0
1,0,0,0,4,30,20950,0
1,1,1,1,5,9,18512,0
1,1,1,2,4,29,9878,1
1,1,1,0,2,17,23346,1
1,1,1,0,5,4,23014,1
1,1,1,0,2,30,8785,1
1,1,1,1,2,9,6782,1
1,1,1,0,2,6,14265,0
1,1,1,0,5,17,5848,1
1,1,1,1,3,6,19160,1
1,1,1,0,4,11,27856,0
1,1,0,2,5,21,9993,0
1,1,0,0,5,22,18106,1
1,1,1,1,2,25,27280,1
1,1,1,0,2,12,25287,0
1,1,1,1,5,5,24489,1
1,1,0,0,4,13,13008,0
1,1,1,2,4,9,10821,0
1,1,1,2,5,8,22872,1
1,1,1,2,4,22,8987,1
1,1,1,1,4,6,25231,0
1,0,0,0,5,19,26156,0
1,1,1,1,3,23,12526,1
1,1,1,0,2,26,23682,0
1,1,0,2,2,19,9376,1
1,1,1,1,3,26,28954,1
1,1,1,2,3,2,9116,1
1,1,1,0,2,9,13721,0
1,1,1,0,3,8,23499,0
1,1,0,1,4,2,21323,0
1,1,1,0,4,18,27887,0
1,1,0,2,3,11,19797,0
1,1,1,1,4,28,23321,1
1,1,1,1,3,1,16893,0
1,1,1,1,3,5,24132,0
1,1,0,2,4,23,19576,0
1,1,1,0,3,28,24349,1
1,1,0,0,3,9,5381,0
1,1,1,1,2,30,21111,1
1,1,0,1,5,24,29508,0
1,0,0,1,2,17,25266,0
1,1,1,0,5,5,27068,0
1,1,1,0,5,5,11201,1
1,1,1,2,4,2,25030,0
1,1,0,2,4,5,6732,0
1,1,1,2,3,26,19020,1
1,1,0,2,5,13,9617,1
1,1,0,2,5,29,18825,0
1,1,1,1,5,13,16041,1
1,1,1,1,4,19,10159,1
1,1,0,2,2,23,8586,0
1,1,1,1,5,2,14704,1
1,1,1,0,2,25,26605,0
1,1,0,1,4,11,13433,1
1,1,0,0,3,4,16426,0
1,0,0,1,3,10,13223,1
1,1,1,2,2,3,9853,1
1,1,1,1,3,23,14352,0
1,1,1,2,2,27,18954,0
1,1,1,1,4,16,8318,1
1,1,1,1,4,16,19261,0
1,1,1,1,5,3,21498,1
1,1,1,0,5,26,9336,1
1,1,1,1,4,19,22846,0
1,1,1,0,4,13,21048,0
1,1,1,0,4,8,16536,0
1,1,0,1,5,21,26337,0
1,1,1,1,2,21,21321,1
1,1,1,1,2,16,20331,1
1,1,1,2,4,8,13518,0
1,1,0,0,5,13,13144,1
1,1,0,0,3,16,25026,0
1,0,0,1,5,25,8744,1
1,1,1,1,5,11,7300,1
1,1,1,2,2,2,24257,1
1,1,1,1,3,1,22805,1
1,1,1,0,2,18,18564,0
1,1,0,1,5,26,17192,1
1,1,1,0,2,25,29703,0
1,1,1,1,5,26,17588,0
1,1,1,2,2,15,25981,1
1,1,1,0,4,5,25487,0
1,1,0,2,2,5,6672,1
1,1,0,2,2,18,5984,1
1,1,1,0,2,24,29752,0
1,0,0,0,4,18,21128,0
1,1,1,1,3,8,24813,0
1,1,1,2,2,11,16441,1
1,1,1,2,3,16,24198,1
1,1,1,2,2,11,25469,1
1,1,1,0,3,20,6576,1
1,0,0,1,5,2,7380,0
1,1,1,1,5,30,18652,1
1,1,1,1,5,11,11287,1
1,1,1,2,2,15,10966,1
1,1,1,0,5,2,17299,0
1,1,1,1,3,15,6864,0
1,1,1,1,4,1,7092,1
1,1,1,0,2,5,23724,1
1,1,0,0,5,6,11972,0
1,1,1,2,4,26,26882,0
1,1,0,2,4,23,20360,1
1,1,0,1,5,3,6123,0
1,1,1,1,4,11,28516,1
1,1,1,1,4,30,29070,0
1,1,1,0,4,28,21407,1
1,1,1,0,4,10,27343,0
1,1,1,0,2,9,27705,1
1,1,1,1,3,6,23700,0
1,1,1,1,3,30,10850,1
1,1,0,0,2,24,13636,1
1,1,0,0,3,14,11673,0
1,1,1,1,3,19,9794,0
1,1,1,2,2,16,10240,1
1,1,0,1,4,5,11483,1
1,1,0,1,3,24,21412,0
1,1,0,1,3,2,27618,0
1,0,0,1,3,9,12894,0
1,1,1,2,2,3,5521,1
1,1,1,0,2,25,21975,0
1,1,1,0,3,23,25407,0
1,1,1,1,4,3,12242,1
1,1,0,2,4,6,21678,0
1,0,0,1,5,4,20842,1
1,1,1,0,3,5,15774,1
1,1,0,2,4,22,12130,1
1,0,0,1,5,29,24136,0
1,1,1,2,3,27,28274,0
1,1,1,0,2,23,12419,0
1,1,1,1,5,28,17343,1
1,1,1,1,4,15,5460,1
1,1,1,0,5,10,5921,1
1,1,1,0,2,7,29320,1
1,1,1,1,3,2,10980,1
1,1,1,1,5,16,7719,1
1,1,1,0,5,29,16392,0
1,1,1,2,4,29,17814,0
1,1,1,2,2,8,29678,1
1,1,1,0,3,9,19008,0
1,1,0,0,4,7,19300,0
1,1,0,2,2,30,19720,0
1,0,0,0,4,19,26272,1
1,1,1,1,3,25,11383,1
1,1,0,2,3,12,11032,1
1,1,1,0,3,10,9928,1
1,1,1,0,4,27,15609,1
1,1,1,1,3,7,6053,1
1,1,1,0,5,20,23939,1
1,1,1,2,2,13,13555,1
1,1,1,0,5,8,12313,1
1,1,1,0,2,29,17118,0
1,1,1,0,4,19,21554,0
1,1,1,2,2,1,24953,1
1,1,1,0,2,7,23040,0
1,0,0,0,3,23,14065,0
1,1,0,1,5,14,9200,0
1,1,0,0,3,11,25453,0
1,1,1,0,3,23,15068,0
1,1,0,2,3,18,9572,1
1,1,1,2,4,26,23508,1
1,1,0,1,3,10,18288,0
1,1,1,0,2,21,10049,0
1,1,1,1,4,13,8255,1
1,0,0,1,3,7,24845,0
1,1,0,1,3,20,22731,0
1,0,0,2,5,30,8720,0
1,1,1,0,4,14,27413,0
1,1,1,1,5,9,29954,0
1,1,1,1,3,17,15408,1
1,1,0,2,4,12,17132,0
1,1,1,0,3,29,24836,0
1,1,1,0,3,11,14767,0
1,1,1,1,5,11,17177,1
1,0,0,1,2,9,5950,1
1,1,1,0,3,12,23989,1
1,0,0,2,5,29,7859,1
1,1,1,0,3,12,6335,0
1,1,1,0,2,3,10605,0
1,1,1,0,4,16,21945,1
1,1,0,0,5,19,5275,1
1,0,0,0,5,11,21636,0
1,1,1,1,5,17,10008,0
1,1,1,0,4,10,5784,1
1,1,1,1,3,6,12510,1
1,1,1,0,5,3,8610,1
1,1,1,1,2,28,6953,1
1,1,1,0,5,23,8448,1
1,1,1,0,4,8,11692,0
1,1,1,1,5,20,21329,1
1,1,1,2,5,22,20159,1
1,1,1,1,4,6,24592,0
1,1,1,2,4,2,10741,1
1,1,1,1,3,10,21934,0
1,1,1,1,4,14,15971,1
1,1,1,2,4,30,15895,1
1,1,1,1,5,30,23365,0
1,1,1,0,4,3,16048,0
1,1,1,0,5,3,28248,0
1,1,1,2,3,28,16321,1
1,1,1,0,5,17,9912,0
1,1,1,0,3,29,18599,0
1,1,1,0,5,6,9043,1
1,1,1,2,5,30,22401,1
1,1,1,2,3,3,9036,1
1,1,1,0,2,19,9254,1
1,1,1,0,2,10,7304,1
1,1,1,2,5,23,26607,1
1,1,1,2,2,11,15174,1
1,1,1,2,5,4,26130,0
1,1,0,1,3,26,25243,0
1,1,1,2,2,17,9425,1
1,1,1,0,4,24,10620,1
1,1,0,2,5,12,21014,1
1,1,1,1,5,5,24754,1
1,0,0,0,3,2,6330,0
1,1,1,0,2,29,20839,1
1,1,1,2,3,10,16129,1
1,1,1,1,3,11,14518,0
1,1,0,0,5,17,24467,0
1,1,0,2,4,20,12841,1
1,1,1,0,2,15,23024,0
1,0,0,1,5,16,26745,1
1,1,1,0,2,19,22766,0
1,1,0,2,4,23,20687,0
1,1,1,1,3,18,9847,1
1,1,1,0,4,17,10470,1
1,0,0,1,3,16,11598,0
1,1,1,0,4,2,16104,1
1,1,1,1,4,29,5540,1
1,1,1,0,2,23,25559,0
1,1,1,0,5,6,23440,0
1,1,1,0,2,15,18375,1
1,1,0,0,2,29,24129,0
1,1,1,0,2,10,8541,1
1,1,1,1,2,23,11816,1
1,1,1,0,3,20,9505,0
1,1,1,0,3,6,9880,1
1,1,1,1,4,22,16750,1
1,1,1,0,5,17,14898,0
1,1,1,1,3,24,6974,1
1,1,1,0,5,25,22955,0
1,0,0,0,3,26,24957,1
1,1,1,1,3,4,9759,1
1,1,1,2,3,16,13952,1
1,1,1,1,5,28,15948,1
1,1,1,2,4,11,8059,1
1,1,1,1,2,17,26240,0
1,1,1,1,4,19,5433,1
1,1,1,2,4,20,20777,0
1,1,1,2,3,19,22218,0
1,0,0,1,5,25,22198,1
1,1,1,0,2,9,22277,1
1,1,1,1,4,16,11534,1
1,0,0,1,5,28,21137,1
1,1,1,0,5,3,25543,0
1,1,1,1,5,25,17534,1
1,0,0,1,4,24,8241,0
1,1,1,0,3,15,28937,1
1,1,1,2,4,4,17815,1
1,1,1,0,4,30,25745,0
1,1,1,0,3,10,13012,0
1,1,1,2,2,2,7913,1
1,1,1,0,2,7,12503,0
1,1,0,0,4,8,7365,0
1,1,1,1,4,2,5328,0
1,1,1,1,5,18,5981,1
1,1,1,2,2,29,16640,0
1,1,0,1,2,5,10267,1
1,1,1,0,4,1,29772,0
1,1,1,1,2,3,9810,1
1,1,1,0,2,30,8756,1
1,1,1,1,3,22,19548,0
1,1,1,1,2,19,28355,0
1,1,1,1,4,1,21511,0
1,1,1,0,5,27,25754,0
1,1,1,1,5,22,24054,1
1,1,1,2,4,11,21503,1
1,1,1,1,2,28,23060,1
1,1,1,0,5,1,14008,1
1,1,1,0,2,26,15881,0
1,1,0,2,2,10,26523,0
1,1,1,1,5,23,24989,1
1,1,1,0,4,15,19244,0
1,1,1,1,2,30,27261,0
1,1,1,2,4,17,21715,1
1,1,1,2,5,12,26921,1
1,0,0,0,4,25,14091,0
1,1,1,1,2,3,6666,1
1,1,1,1,5,10,28911,0
1,1,1,0,3,6,8331,0
1,1,1,0,2,7,29012,0
1,1,1,1,4,9,20532,1
1,1,1,2,2,6,28141,0
1,1,0,0,5,21,10347,0
1,1,1,2,5,23,13273,0
1,1,1,2,5,30,8847,1
1,0,0,1,3,24,23847,0
1,1,0,2,5,14,9020,1
1,1,1,1,2,6,22903,0
1,1,0,0,3,16,21711,0
1,1,0,0,5,2,27417,0
1,1,1,0,4,22,25281,1
1,1,1,2,4,6,7688,1
1,0,0,0,3,21,23880,0
1,1,1,1,4,29,8405,1
1,1,0,2,2,6,8980,0
1,1,1,1,4,10,8551,0
1,1,0,1,2,17,29774,0
1,1,1,1,3,4,6216,1
1,1,1,1,4,19,7937,1
1,1,1,1,4,10,12413,1
1,1,1,1,2,28,25151,0
1,1,1,1,2,23,22704,1
1,1,1,2,2,9,18421,1
1,0,0,1,5,18,8774,0
1,1,1,0,2,10,26426,0
1,1,1,1,2,18,13137,0
1,1,1,0,2,23,28176,0
1,1,0,1,5,1,21896,0
1,1,1,1,5,17,27247,0
1,1,1,0,3,15,22008,0
1,1,1,2,5,20,20586,1
1,1,1,2,3,27,17573,0
1,0,0,2,5,21,9132,0
1,1,1,2,5,12,15304,1
1,1,1,2,2,27,5808,1
1,1,1,0,2,6,17116,0
1,0,0,1,2,29,18330,0
1,1,1,0,3,9,28536,0
1,1,1,1,2,30,17405,0
1,1,1,1,2,6,28836,1
1,1,1,1,3,1,15504,0
1,1,1,2,4,10,22861,1
1,1,1,1,2,29,26297,1
1,1,1,1,2,18,8932,1
1,1,1,0,4,5,14189,1
1,1,0,2,5,16,6925,1
1,1,1,0,3,21,28874,0
1,1,1,1,4,5,20049,1
1,1,1,0,4,22,27829,1
1,1,1,2,2,2,26990,0
1,1,1,1,4,14,6709,1
1,1,1,1,3,5,11115,1
1,1,1,1,2,10,23101,0
1,1,1,1,2,24,15367,0
1,1,1,1,3,15,20013,1
1,1,0,0,4,5,23635,0
1,0,0,1,2,19,23100,0
1,1,1,0,5,4,21287,0
1,1,0,0,4,22,25495,0
1,1,1,1,4,26,10896,1
1,1,1,0,4,4,17751,1
1,1,1,1,4,5,7274,1
1,1,1,0,2,16,21436,0
1,0,0,1,3,26,5979,1
1,1,1,0,5,4,5887,0
1,1,1,1,5,7,13914,0
1,1,1,1,4,27,26304,1
1,1,0,2,2,15,14046,0
1,1,0,0,3,5,26091,0
1,1,1,2,4,7,29285,0
1,1,1,0,5,15,18996,0
1,1,1,1,5,9,28948,1
1,1,1,2,5,22,18685,0
1,1,1,0,2,15,5695,0
1,1,0,2,4,28,24427,0
1,1,1,2,5,24,24551,1
1,1,1,2,5,15,22162,1
1,1,1,2,2,5,5454,0
1,1,1,0,2,16,9312,1
1,1,1,0,3,7,12322,0
1,0,0,0,4,21,10432,1
1,1,1,2,3,1,25414,1
1,1,1,0,2,24,14838,1
1,1,1,2,3,14,29853,0
1,0,0,1,2,4,23266,1
1,1,1,2,3,25,23490,0
1,0,0,0,5,1,12041,1
